"X1","X2","X3","siteID","coordx","coordy","AQ","AQ.coordx","AQ.coordy","elev","rlength","forest","time.1","time.2","time.3","date.1","date.2","date.3","dur.1","dur.2","dur.3"
1,3,4,"Q035",1000942,87276,32,1000942,200724,1250,4,51,"1","2","3",36,44,52,260,235,240
4,3,3,"Q036",1000942,103276,33,1000942,210724,1150,5.1,43,"1","2","3",26,60,77,255,280,220
11,12,10,"Q037",1000942,119276,34,1000942,230724,750,6.5,40,"1","2","3",16,37,67,255,310,333
11,8,9,"Q038",1000942,135276,35,1000942,250724,550,5.2,5,"1","2","3",14,48,63,140,150,150
6,0,2,"Q039",1000942,151276,36,1000942,260724,450,5.5,3,"1","2","3",14,49,55,210,170,145
3,7,7,"Q040",1000942,167276,37,1000942,280724,1250,5.6,52,"1","2","3",41,59,69,195,210,240
6,5,3,"Q041",1000942,183276,38,1000942,290724,950,4.5,38,"1","2","3",17,57,69,220,230,210
15,14,9,"Q042",1000942,199276,39,1000942,310724,550,3.9,49,"1","2","3",14,37,49,175,150,145
1,1,NA,"Q043",1006942,31276,51,1010942,140724,1850,5.3,15,"1","2","3",45,65,NA,230,230,NA
0,0,0,"Q044",1006942,39276,52,1010942,150724,1950,4.8,62,"1","2","3",57,82,92,204,191,175
0,1,0,"Q045",1006942,63276,42,1010942,170724,1050,3.6,82,"1","2","3",31,50,86,220,205,220
0,0,NA,"Q046",1006942,80276,44,1010942,190724,2050,4.7,0,"1","2","3",87,96,NA,260,290,NA
2,2,1,"Q047",1006942,95276,46,1010942,210724,1250,6,29,"1","2","3",41,67,75,285,285,270
8,6,4,"Q048",1006942,175276,50,1010942,290724,750,6.3,5,"1","2","3",24,43,66,210,223,250
0,0,NA,"Q049",1012942,47276,41,1010942,160724,2250,3.6,0,"1","2","3",93,102,NA,275,195,NA
4,3,0,"Q050",1012942,55276,42,1010942,170724,1750,4.1,58,"1","2","3",44,64,74,150,130,120
0,0,NA,"Q051",1012942,71276,43,1010942,180724,2250,4.1,0,"1","2","3",87,100,NA,130,135,NA
4,6,5,"Q052",1012942,87276,45,1010942,200724,1150,2.6,34,"1","2","3",31,37,57,225,230,220
1,0,0,"Q053",1012942,119276,47,1010942,230724,1150,3.3,98,"1","2","3",18,61,76,210,180,225
28,22,12,"Q054",1012942,135276,48,1010942,250724,650,4,33,"1","2","3",28,35,63,170,170,210
8,10,3,"Q055",1012942,151276,49,1010942,260724,550,6.9,53,"1","2","3",25,37,57,185,190,200
0,0,0,"Q056",1018942,95276,56,1020942,210724,1850,6.6,17,"1","2","3",65,81,89,315,315,300
10,10,4,"Q057",1018942,127276,58,1020942,240724,950,5.3,16,"1","2","3",24,48,67,198,215,177
15,9,7,"Q058",1018942,159276,60,1020942,270724,550,4.3,60,"1","2","3",25,43,66,300,220,225
16,9,12,"Q059",1018942,191276,62,1020942,300724,450,6.1,2,"1","2","3",28,48,70,210,210,225
16,17,16,"Q060",1024942,63276,53,1020942,170724,1450,5.5,52,"1","2","3",26,48,68,270,300,275
13,13,13,"Q061",1024942,71276,54,1020942,180724,850,6.9,58,"1","2","3",18,38,64,265,230,260
3,1,1,"Q062",1024942,87276,55,1020942,200724,1450,6.4,50,"1","2","3",34,41,58,275,270,280
0,0,NA,"Q063",1024942,103276,56,1020942,210724,1850,4.5,12,"1","2","3",67,74,NA,195,195,NA
1,0,0,"Q064",1024942,119276,57,1020942,230724,1450,4.5,29,"1","2","3",68,84,92,330,330,330
5,1,1,"Q065",1024942,151276,59,1020942,260724,550,4.9,16,"1","2","3",22,44,57,195,200,195
4,7,8,"Q066",1024942,167276,61,1020942,280724,550,3.2,83,"1","2","3",15,41,58,255,210,200
7,1,0,"Q067",1024942,199276,63,1020942,310724,750,4,79,"1","2","3",17,58,63,180,180,195
5,6,3,"Q068",1029942,48276,64,1030942,160724,1750,6,51,"1","2","3",44,64,73,275,245,245
14,14,11,"Q069",1030942,71276,65,1030942,180724,650,6.5,8,"1","2","3",15,37,57,160,155,155
4,0,5,"Q070",1030942,111276,66,1030942,220724,950,4.2,45,"1","2","3",25,57,87,270,285,285
15,12,11,"Q071",1030942,175276,67,1030942,290724,550,6.3,5,"1","2","3",14,41,50,208,206,187
4,5,0,"Q072",1030942,191276,68,1030942,300724,750,4.8,64,"1","2","3",37,50,65,210,220,220
27,21,16,"Q073",1030942,207276,69,1030942,320724,350,3.4,14,"1","2","3",24,57,65,243,240,225
0,0,NA,"Q074",1036942,55276,70,1040942,170724,2750,1.9,0,"1","2","3",93,105,NA,175,180,NA
0,0,NA,"Q075",1036942,87276,72,1040942,200724,2450,4.3,0,"1","2","3",91,98,NA,240,270,NA
4,5,2,"Q076",1036942,119276,75,1040942,230724,650,5.3,0,"1","2","3",13,21,51,135,140,105
5,4,11,"Q077",1036942,135276,77,1040942,250724,650,5.3,30,"1","2","3",17,60,76,270,270,270
10,5,3,"Q078",1036942,151276,78,1040942,260724,750,6.9,17,"1","2","3",23,53,69,165,160,160
14,10,11,"Q079",1036942,167276,79,1040942,280724,450,4.6,65,"1","2","3",16,37,68,225,215,250
29,12,11,"Q080",1036942,199276,82,1040942,310724,350,6.5,30,"1","2","3",26,50,66,370,245,238
9,9,8,"Q081",1036942,215276,84,1040942,330724,250,4.2,0,"1","2","3",14,34,48,265,215,275
0,0,NA,"Q082",1041942,110276,74,1040942,220724,1950,6.2,5,"1","2","3",78,84,NA,360,360,NA
8,5,2,"Q083",1041942,192276,81,1040942,300724,950,9,55,"1","2","3",25,41,64,275,250,245
0,0,NA,"Q084",1042942,40276,85,1040942,150724,2350,7.1,0,"1","2","3",87,105,NA,360,360,NA
0,0,NA,"Q085",1042942,63276,70,1040942,170724,2650,2.3,0,"1","2","3",72,79,NA,150,105,NA
0,0,NA,"Q086",1042942,79276,71,1040942,190724,2450,4.1,0,"1","2","3",92,99,NA,180,165,NA
3,6,2,"Q087",1042942,95276,73,1040942,210724,1350,5.8,66,"1","2","3",31,44,66,260,200,260
8,5,7,"Q088",1042942,127276,76,1040942,240724,750,5.7,8,"1","2","3",14,34,45,255,255,270
9,7,9,"Q089",1042942,175276,80,1040942,290724,450,7.6,75,"1","2","3",21,50,63,275,295,300
8,14,4,"Q090",1042942,207276,83,1040942,320724,450,8.4,68,"1","2","3",24,45,76,190,170,165
0,1,0,"Q091",1048942,39276,100,1050942,150724,1950,4.6,72,"1","2","3",80,95,115,190,145,140
0,0,0,"Q092",1048942,71276,88,1050942,180724,1550,5.3,95,"1","2","3",37,53,68,255,225,245
0,0,0,"Q093",1048942,79276,89,1050942,190724,1850,5.7,57,"1","2","3",39,68,80,260,255,240
0,0,0,"Q094",1048942,103276,91,1050942,210724,1250,4,64,"1","2","3",35,44,58,315,315,300
1,1,0,"Q095",1048942,119276,92,1050942,230724,1350,4.9,44,"1","2","3",41,76,104,277,330,314
8,6,2,"Q096",1048942,135276,93,1050942,250724,850,4.8,44,"1","2","3",17,39,48,210,200,195
24,14,17,"Q097",1048942,151276,94,1050942,260724,750,5.6,34,"1","2","3",18,50,57,250,245,240
13,11,9,"Q098",1048942,167276,96,1050942,280724,650,6.4,21,"1","2","3",18,24,48,240,225,240
11,12,9,"Q099",1048942,183276,97,1050942,290724,450,5.9,23,"1","2","3",24,48,69,135,150,135
0,0,NA,"Q100",1054942,45276,86,1050942,160724,2350,6.2,1,"1","2","3",88,106,NA,320,320,NA
3,5,4,"Q101",1054942,63276,87,1050942,170724,1650,5,43,"1","2","3",32,44,59,255,280,285
0,0,0,"Q102",1054942,87276,90,1050942,200724,2050,4.1,30,"1","2","3",65,79,93,285,230,235
8,10,9,"Q103",1054942,143276,93,1050942,250724,750,4.8,26,"1","2","3",24,38,57,195,225,240
19,18,13,"Q104",1054942,159276,95,1050942,270724,750,5.6,7,"1","2","3",18,32,50,180,135,210
8,6,7,"Q105",1054942,175276,97,1050942,290724,450,5.7,87,"1","2","3",13,53,69,230,240,255
8,7,5,"Q106",1054942,191276,98,1050942,300724,850,4.8,49,"1","2","3",14,48,63,260,270,250
16,24,14,"Q107",1054942,207276,99,1050942,320724,450,7.6,39,"1","2","3",24,45,66,250,255,255
1,1,2,"Q108",1060942,71276,101,1060942,180724,1050,5.4,93,"1","2","3",25,41,67,260,265,265
0,2,2,"Q109",1060942,103276,102,1060942,210724,1450,4.7,48,"1","2","3",33,65,88,255,285,285
7,9,4,"Q110",1060942,135276,103,1060942,250724,850,5.7,11,"1","2","3",18,41,64,195,195,245
1,0,0,"Q111",1060942,151276,104,1060942,260724,1250,4.8,73,"1","2","3",23,45,51,180,260,255
15,7,3,"Q112",1060942,199276,105,1060942,310724,550,5.9,12,"1","2","3",22,43,69,155,150,150
0,0,NA,"Q113",1066942,55276,106,1070942,170724,2750,6.6,0,"1","2","3",87,99,NA,320,305,NA
0,0,NA,"Q114",1066942,63276,106,1070942,170724,2450,4.5,0,"1","2","3",107,114,NA,165,150,NA
23,9,14,"Q115",1066942,79276,108,1070942,190724,1450,5.6,42,"1","2","3",18,48,68,260,285,290
1,0,0,"Q116",1066942,127276,111,1070942,240724,1450,6,26,"1","2","3",45,67,74,210,225,245
8,11,4,"Q117",1066942,143276,112,1070942,250724,750,3.2,13,"1","2","3",14,35,63,135,135,135
1,3,2,"Q118",1066942,175276,114,1070942,290724,450,4.5,2,"1","2","3",21,31,60,120,140,130
0,0,0,"Q120",1072942,63276,106,1070942,170724,2050,5.8,54,"1","2","3",44,65,78,270,270,270
0,0,0,"Q121",1072942,71276,107,1070942,180724,1750,5.5,74,"1","2","3",48,68,80,260,245,230
0,0,0,"Q122",1072942,119276,110,1070942,230724,1650,4.3,45,"1","2","3",35,50,64,295,315,250
0,0,NA,"Q123",1072942,127276,111,1070942,240724,1950,5.2,0,"1","2","3",82,96,NA,240,245,NA
12,9,10,"Q124",1072942,167276,113,1070942,280724,650,5.9,61,"1","2","3",14,35,60,250,255,255
10,4,12,"Q125",1072942,183276,114,1070942,290724,550,5.5,33,"1","2","3",18,44,68,240,180,270
5,7,5,"Q126",1072942,199276,115,1070942,310724,650,3.5,54,"1","2","3",18,33,48,260,155,180
11,19,13,"Q127",1078942,87276,117,1080942,200724,1350,3.5,69,"1","2","3",24,44,68,240,240,240
0,0,0,"Q128",1078942,143276,119,1080942,250724,1250,6.2,47,"1","2","3",35,48,81,240,240,225
8,4,6,"Q129",1078942,159276,121,1080942,270724,650,6.5,5,"1","2","3",14,41,60,200,170,170
25,17,11,"Q130",1078942,207276,125,1080942,320724,450,7.7,36,"1","2","3",24,50,69,240,270,290
2,1,0,"Q131",1084942,79276,116,1080942,190724,1950,4.8,60,"1","2","3",76,91,100,265,245,280
15,5,15,"Q132",1084942,119276,118,1080942,230724,750,6.1,72,"1","2","3",18,50,68,205,195,165
8,5,6,"Q133",1084942,151276,120,1080942,260724,1050,4.8,29,"1","2","3",26,41,76,245,245,235
14,6,5,"Q134",1084942,167276,122,1080942,280724,650,5.6,7,"1","2","3",17,44,66,240,220,205
15,15,11,"Q135",1084942,183276,123,1080942,290724,450,4.3,7,"1","2","3",14,35,69,220,200,200
5,2,1,"Q136",1084942,199276,124,1080942,310724,350,4.3,13,"1","2","3",14,50,70,135,135,120
5,5,2,"Q137",1084942,215276,126,1080942,330724,350,8.3,2,"1","2","3",18,41,58,215,205,180
12,6,7,"Q138",1090942,95276,127,1090942,210724,1350,5.4,16,"1","2","3",63,69,76,225,240,240
8,14,9,"Q139",1090942,143276,129,1090942,250724,550,4.1,62,"1","2","3",14,35,57,230,250,255
18,19,15,"Q140",1090942,159276,130,1090942,270724,450,7.1,9,"1","2","3",14,41,69,365,350,380
14,10,9,"Q141",1090942,191276,131,1090942,300724,450,7.9,37,"1","2","3",18,56,69,215,245,245
0,0,NA,"Q142",1091942,126276,128,1090942,240724,2150,4.9,0,"1","2","3",93,100,NA,300,300,NA
25,25,13,"Q143",1096942,199276,137,1100942,310724,550,5.7,71,"1","2","3",19,41,58,220,210,220
0,0,0,"Q144",1102942,71276,132,1100942,180724,1950,4.8,41,"1","2","3",75,83,95,305,285,295
0,0,NA,"Q145",1102942,127276,133,1100942,240724,1550,3.4,19,"1","2","3",80,101,NA,285,285,NA
13,12,13,"Q146",1102942,159276,135,1100942,270724,650,6.7,24,"1","2","3",32,44,74,165,165,180
17,8,10,"Q147",1102942,175276,136,1100942,290724,450,6,10,"1","2","3",14,41,50,195,193,175
18,6,6,"Q148",1102942,207276,138,1100942,320724,450,6.1,0,"1","2","3",14,55,63,190,170,192
14,19,8,"Q149",1102942,223276,139,1100942,330724,450,5.7,70,"1","2","3",16,35,73,220,215,215
0,0,NA,"Q150",1103942,141276,134,1100942,250724,1850,3.5,1,"1","2","3",73,87,NA,230,225,NA
2,6,6,"Q151",1105942,71276,141,1110942,180724,1450,6.6,46,"1","2","3",41,61,74,355,330,340
0,0,NA,"Q152",1105942,83276,142,1110942,190724,2250,5.7,0,"1","2","3",102,103,NA,345,350,NA
0,0,0,"Q153",1108942,95276,143,1110942,210724,1850,5.9,45,"1","2","3",84,91,98,190,195,210
13,12,9,"Q154",1108942,183276,147,1110942,290724,450,4.2,18,"1","2","3",37,45,58,210,195,205
13,8,6,"Q155",1108942,215276,149,1110942,330724,450,7.5,20,"1","2","3",15,37,67,150,150,165
13,7,7,"Q156",1108942,231276,150,1110942,340724,750,5,99,"1","2","3",17,41,64,120,120,125
0,0,NA,"Q157",1110942,102276,143,1110942,210724,2050,5.7,0,"1","2","3",97,104,NA,200,185,NA
10,8,5,"Q158",1111942,62276,140,1110942,170724,1350,6,62,"1","2","3",35,66,90,310,315,275
0,0,NA,"Q159",1114942,111276,144,1110942,220724,1850,5.5,5,"1","2","3",55,68,NA,210,225,NA
17,12,23,"Q161",1114942,159276,146,1110942,270724,850,6.1,20,"1","2","3",14,40,73,235,285,255
24,15,18,"Q162",1114942,175276,147,1110942,290724,650,6.1,36,"1","2","3",18,32,60,275,280,270
26,22,24,"Q163",1114942,191276,148,1110942,300724,650,5.4,19,"1","2","3",39,50,74,210,225,205
0,0,0,"Q164",1116942,83276,153,1120942,190724,1750,4.1,35,"1","2","3",62,74,82,220,250,240
9,7,6,"Q165",1118942,98276,154,1120942,210724,1550,8.4,78,"1","2","3",37,64,76,280,270,270
19,11,16,"Q166",1120942,63276,151,1120942,170724,850,3.7,87,"1","2","3",16,41,66,240,240,240
0,0,0,"Q167",1120942,95276,154,1120942,210724,1750,4.2,80,"1","2","3",44,72,92,300,315,300
3,4,1,"Q168",1120942,135276,155,1120942,250724,1250,5.8,51,"1","2","3",31,44,67,210,225,210
0,0,NA,"Q169",1120942,143276,155,1120942,250724,1850,1.4,0,"1","2","3",97,103,NA,177,178,NA
8,7,6,"Q170",1120942,167276,156,1120942,280724,950,4.7,21,"1","2","3",26,43,57,150,150,165
19,16,13,"Q171",1120942,183276,157,1120942,290724,550,6.1,11,"1","2","3",24,45,58,360,300,360
7,6,4,"Q172",1120942,215276,158,1120942,330724,450,4.7,29,"1","2","3",14,36,64,150,150,150
8,6,5,"Q173",1120942,231276,159,1120942,340724,450,4,55,"1","2","3",15,38,73,135,150,150
33,33,18,"Q174",1121942,69276,152,1120942,180724,450,7.2,54,"1","2","3",14,34,69,245,330,255
0,0,NA,"Q175",1122942,102276,154,1120942,210724,2350,3.4,0,"1","2","3",97,118,NA,190,220,NA
0,0,NA,"Q176",1126942,111276,164,1130942,220724,1850,6.9,32,"1","2","3",66,91,NA,270,270,NA
0,2,0,"Q177",1126942,143276,166,1130942,250724,1350,4.5,32,"1","2","3",41,77,91,210,225,210
16,12,10,"Q178",1126942,207276,169,1130942,320724,450,5.3,3,"1","2","3",31,41,56,140,130,140
12,10,9,"Q179",1129942,61276,160,1130942,170724,1150,4.3,82,"1","2","3",15,34,62,225,215,190
25,15,18,"Q180",1129942,73276,161,1130942,180724,850,4.6,58,"1","2","3",14,36,64,200,180,195
0,0,0,"Q181",1132942,95276,163,1130942,210724,1950,4.4,36,"1","2","3",53,74,95,177,255,270
0,0,0,"Q182",1132942,119276,165,1130942,230724,1650,5,86,"1","2","3",39,65,89,255,265,260
0,0,0,"Q183",1132942,167276,168,1130942,280724,1250,4.6,75,"1","2","3",37,65,78,235,215,240
34,32,18,"Q184",1132942,215276,170,1130942,330724,350,5.8,23,"1","2","3",18,45,67,300,300,300
0,0,NA,"Q185",1133942,77276,162,1130942,190724,2050,3.4,15,"1","2","3",74,93,NA,150,210,NA
0,0,NA,"Q186",1133942,153276,167,1130942,260724,1850,3.8,0,"1","2","3",96,103,NA,315,320,NA
0,0,NA,"Q187",1134942,102276,163,1130942,210724,2250,5.2,0,"1","2","3",95,104,NA,210,315,NA
0,0,0,"Q189",1137942,87276,174,1140942,200724,1950,5.5,58,"1","2","3",64,72,80,225,240,240
10,15,12,"Q190",1138942,47276,171,1140942,160724,950,6.2,71,"1","2","3",64,78,85,245,250,255
1,1,1,"Q191",1138942,95276,175,1140942,210724,1650,6.4,43,"1","2","3",34,70,91,245,240,235
0,0,NA,"Q192",1138942,143276,177,1140942,250724,2150,1.2,0,"1","2","3",84,98,NA,155,165,NA
11,11,6,"Q193",1138942,191276,179,1140942,300724,850,6.7,69,"1","2","3",25,44,67,251,275,285
35,27,30,"Q194",1138942,207276,180,1140942,320724,450,4.6,6,"1","2","3",14,35,60,210,210,210
21,14,18,"Q195",1138942,223276,181,1140942,330724,550,5.1,67,"1","2","3",16,46,66,300,300,300
17,13,14,"Q196",1140942,58276,172,1140942,170724,250,5.3,13,"1","2","3",18,44,74,185,185,255
18,14,17,"Q197",1142942,49276,171,1140942,160724,950,5.1,72,"1","2","3",34,65,74,210,210,195
15,8,16,"Q198",1144942,23276,182,1140942,130724,350,5,42,"1","2","3",18,37,52,280,300,350
13,16,10,"Q199",1144942,47276,171,1140942,160724,550,5.3,72,"1","2","3",14,32,56,265,285,270
0,0,0,"Q200",1144942,63276,172,1140942,170724,1350,3.7,79,"1","2","3",34,48,77,185,190,165
15,18,7,"Q201",1144942,71276,173,1140942,180724,250,5.5,47,"1","2","3",13,32,54,180,180,180
0,1,0,"Q202",1144942,119276,176,1140942,230724,2050,4.2,26,"1","2","3",65,78,89,300,270,285
9,6,4,"Q203",1144942,183276,178,1140942,290724,1150,6,56,"1","2","3",25,58,65,260,275,285
0,0,0,"Q204",1147942,32276,193,1150942,140724,1450,5.4,20,"1","2","3",35,64,81,300,300,300
0,0,NA,"Q205",1147942,80276,184,1150942,190724,2050,3.2,0,"1","2","3",77,91,NA,170,140,NA
0,0,NA,"Q206",1149942,144276,187,1150942,250724,1950,5.4,18,"1","2","3",48,68,NA,300,285,NA
3,2,1,"Q207",1150942,111276,185,1150942,220724,1650,5,33,"1","2","3",50,73,87,285,285,300
0,0,0,"Q208",1150942,127276,186,1150942,240724,1550,3.3,21,"1","2","3",48,68,75,255,265,260
3,0,0,"Q209",1150942,159276,188,1150942,270724,1350,4,39,"1","2","3",35,66,73,285,245,300
1,0,3,"Q210",1150942,175276,189,1150942,290724,1150,5.3,69,"1","2","3",45,60,73,285,305,290
21,13,12,"Q211",1150942,191276,190,1150942,300724,850,6,42,"1","2","3",35,49,73,238,265,232
24,10,7,"Q212",1150942,207276,191,1150942,320724,650,5.5,19,"1","2","3",14,38,70,255,240,190
41,31,22,"Q213",1150942,223276,192,1150942,330724,550,5.8,98,"1","2","3",18,41,69,240,240,240
0,3,2,"Q214",1155942,81276,195,1160942,190724,1450,3.5,52,"1","2","3",35,41,69,270,285,285
0,0,0,"Q215",1156942,71276,194,1160942,180724,1350,3.8,90,"1","2","3",25,41,68,275,275,270
12,12,7,"Q216",1156942,119276,197,1160942,230724,1250,3.9,10,"1","2","3",17,32,61,285,300,270
26,24,20,"Q217",1156942,127276,198,1160942,240724,850,4.1,50,"1","2","3",18,44,67,265,290,300
18,23,19,"Q218",1156942,199276,203,1160942,310724,550,5.3,54,"1","2","3",25,37,45,240,240,240
7,7,6,"Q219",1156942,215276,205,1160942,330724,450,5.1,9,"1","2","3",26,44,69,180,180,180
2,4,3,"Q220",1161942,88276,196,1160942,200724,1250,5,51,"1","2","3",14,39,76,220,235,215
0,0,NA,"Q221",1161942,145276,200,1160942,260724,2050,4.3,0,"1","2","3",97,106,NA,285,240,NA
30,38,21,"Q222",1162942,127276,198,1160942,240724,750,5.2,35,"1","2","3",14,35,77,300,315,270
0,0,0,"Q223",1162942,135276,199,1160942,250724,1850,3.8,57,"1","2","3",76,93,103,210,240,225
0,0,NA,"Q224",1162942,159276,201,1160942,270724,1950,5.5,2,"1","2","3",75,99,NA,220,185,NA
14,17,12,"Q225",1162942,191276,202,1160942,300724,950,4.9,42,"1","2","3",26,38,46,240,240,240
20,21,13,"Q226",1162942,207276,204,1160942,320724,550,5.8,18,"1","2","3",14,44,69,255,255,255
1,0,NA,"Q227",1168942,103276,206,1170942,210724,1850,4.6,12,"1","2","3",64,90,NA,240,270,NA
2,4,2,"Q228",1168942,119276,208,1170942,230724,1650,3.4,34,"1","2","3",45,67,83,210,225,225
1,1,1,"Q229",1168942,135276,210,1170942,250724,1350,4.5,68,"1","2","3",44,68,82,270,285,285
4,4,3,"Q230",1168942,151276,211,1170942,260724,1350,4.7,63,"1","2","3",45,67,92,240,275,255
0,0,0,"Q231",1168942,183276,214,1170942,290724,1250,3.2,48,"1","2","3",31,48,74,270,305,300
0,0,0,"Q232",1174942,111276,207,1170942,220724,1850,3.5,33,"1","2","3",43,53,65,215,204,207
3,0,2,"Q233",1174942,127276,209,1170942,240724,1150,5,90,"1","2","3",15,28,66,235,260,225
21,13,5,"Q234",1174942,159276,212,1170942,270724,450,5.4,33,"1","2","3",25,51,75,345,255,275
0,0,NA,"Q235",1174942,167276,213,1170942,280724,1950,5.2,0,"1","2","3",81,98,NA,245,240,NA
7,4,5,"Q236",1174942,175276,214,1170942,290724,1050,4,37,"1","2","3",35,50,63,225,225,240
5,7,6,"Q237",1174942,207276,215,1170942,320724,450,3.4,8,"1","2","3",29,58,76,120,135,135
0,0,0,"Q238",1180942,95276,216,1180942,210724,2050,4.7,36,"1","2","3",75,80,92,300,300,300
0,0,0,"Q239",1180942,111276,217,1180942,220724,1850,4.6,66,"1","2","3",74,81,96,315,300,305
16,12,13,"Q240",1180942,151276,218,1180942,260724,950,4.6,56,"1","2","3",25,39,58,230,225,225
1,2,0,"Q241",1180942,167276,219,1180942,280724,450,5.9,0,"1","2","3",13,49,70,210,210,240
14,5,3,"Q242",1180942,199276,220,1180942,310724,950,5,41,"1","2","3",25,45,69,221,205,183
31,24,16,"Q243",1186942,79276,221,1190942,190724,1050,7.7,63,"1","2","3",14,50,69,360,330,390
1,1,NA,"Q244",1186942,103276,222,1190942,210724,1950,5.5,0,"1","2","3",69,87,NA,210,195,NA
4,1,2,"Q245",1186942,127276,223,1190942,240724,1350,4.7,35,"1","2","3",37,60,76,210,164,240
20,16,15,"Q246",1186942,143276,224,1190942,250724,550,7.5,14,"1","2","3",17,35,48,255,245,245
2,6,6,"Q247",1186942,191276,225,1190942,300724,450,5.4,1,"1","2","3",34,48,69,180,170,185
0,0,NA,"Q249",1192942,127276,223,1190942,240724,2250,5.3,0,"1","2","3",84,88,NA,165,165,NA
1,4,NA,"Q250",1198942,87276,226,1200942,200724,1950,4.3,6,"1","2","3",77,98,NA,355,325,NA
0,0,NA,"Q251",1198942,111276,227,1200942,220724,2350,4.2,0,"1","2","3",84,98,NA,175,255,NA
0,0,NA,"Q252",1198942,135276,228,1200942,250724,2050,3.9,1,"1","2","3",74,99,NA,210,255,NA
6,4,7,"Q253",1198942,143276,228,1200942,250724,1150,4.9,58,"1","2","3",39,58,68,245,270,242
7,4,NA,"Q254",1204942,87276,226,1200942,200724,2050,4.5,9,"1","2","3",65,76,NA,415,420,NA
0,0,NA,"Q255",1204942,111276,227,1200942,220724,2250,4.7,14,"1","2","3",70,97,NA,190,240,NA
0,0,NA,"Q256",1210942,127276,229,1210942,240724,2350,4.7,2,"1","2","3",92,101,NA,360,330,NA
0,0,NA,"Q257",1210942,143276,230,1210942,250724,2250,4.2,0,"1","2","3",78,98,NA,285,295,NA
